accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
EQ504775,EQ360053;EQ360054;EQ360058;EQ360059;EQ360055;EQ360051;EQ360057;EQ360056;EQ360052,91755,CNC1=C(C(=O)C(O1)C2=CC=CC=C2)C3=CC(=CC=C3)C(F)(F)F,10.1,min,NYRMIJKDBAQCHC-UHFFFAOYSA-N,[M-H]-
EQ812320,EQ360154;EQ360153;EQ360151;EQ360156;EQ360158;EQ360155;EQ360159;EQ360152;EQ360157,93379,C1=CC=C(C=C1)NC(=O)NC2=CC(=NC=C2)Cl,8.8,min,GPXLRLUVLMHHIK-UHFFFAOYSA-N,[M-H]-
EQ508657,EQ339752;EQ339756;EQ339757;EQ339754;EQ339753;EQ339751;EQ339755;EQ339759;EQ339758,116545,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=C(C=C2Cl)O)Cl,10.1,min,KGVXVPRLBMWZLG-UHFFFAOYSA-N,[M-H]-
EQ042085,EQ279156;EQ279158;EQ279151;EQ279159;EQ279157;EQ279152;EQ279153;EQ279155;EQ279154,122499,CC1=CC=CC2=NNN=C12,5.8,min,CMGDVUCDZOBDNL-UHFFFAOYSA-N,[M-H]-
EQ114768,EQ323351;EQ323356;EQ323352;EQ323354;EQ323355;EQ323358;EQ323357;EQ323359;EQ323353,159151,CC1=C(C(=CC=C1)C)N([C@@H](C)C(=O)O)C(=O)COC,7.8,min,ZRIKZVLHMGYCIR-NSHDSACASA-N,[M-H]-
EQ325235,EQ319959;EQ319956;EQ319951;EQ319958;EQ319953;EQ319954;EQ319957;EQ319955;EQ319952,222786,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,7.4,min,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,[M-H]-
EQ516024,EQ331255;EQ331257;EQ331253;EQ331254;EQ331256;EQ331252;EQ331251,260003,C1CCC(CC1)(CC(=O)O)C(=O)O,6.9,min,SDAXMMUAZRUWNL-UHFFFAOYSA-N,[M-H]-
EQ579780,EQ365855;EQ365853;EQ365854;EQ365851;EQ365852;EQ365856,456389,C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl,12.4,min,ZSZFUDFOPOMEET-UHFFFAOYSA-N,[M-H]-
EQ409553,EQ358856;EQ358853;EQ358859;EQ358851;EQ358857;EQ358858;EQ358852;EQ358854;EQ358855,644241,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,8.5,min,HHZIURLSWUIHRB-UHFFFAOYSA-N,[M-H]-
EQ050437,EQ319058;EQ319051;EQ319057;EQ319054;EQ319052;EQ319056;EQ319059;EQ319055;EQ319053,697993,C1=CC=C2C(=C1)NC(=S)S2,6.7,min,YXIWHUQXZSMYRE-UHFFFAOYSA-N,[M-H]-
