accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
UT624064,UT002759;UT001290;UT002031,10147142,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,35.78,min,PZNPLUBHRSSFHT-UHFFFAOYSA-N,[M+CH3COO]-
UT256799,UT002021;UT001280;UT002749;UT001000;UT001735,10169024,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,19.14,min,RFVFQQWKPSOBED-UHFFFAOYSA-N,[M+CH3COO]-
UT100528,UT002802;UT002073;UT001069;UT002540;UT001333;UT001807,10169139,CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,33.02,min,WOTHHEHCEYHCFE-UHFFFAOYSA-N,[M+CH3COO]-
UT770998,UT001775;UT002509;UT001038,10190708,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,35.83,min,BYSIMVBIJVBVPA-UHFFFAOYSA-N,[M+CH3COO]-
UT967520,UT002554;UT001083;UT002087;UT002816;UT001347;UT001822,10208382,CCCCCCCCCCCCCCCCCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C,3.84,min,IQGPMZRCLCCXAG-UHFFFAOYSA-N,[M+CH3COO]-
UT762117,UT001512;UT002976;UT002251;UT002005;UT001264;UT002736,12442931,CCCCCCCCCCCCCCCC(=O)N[C@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](/C=C/CCCCCCCCCCCCC)O,19.69,min,RWKUXQNLWDTSLO-KHDLYOHESA-N,[M+CH3COO]-
UT899912,UT002738;UT002252;UT001514;UT001266;UT002007;UT002978,13832223,CCCCCCCCCCCCCCCCCC(=O)N[C@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](/C=C/CCCCCCCCCCCCC)O,28.06,min,LKQLRGMMMAHREN-GDBDMVKWSA-N,[M+CH3COO]-
UT866931,UT002009;UT001268;UT002253;UT002740,13832229,CCCCCCCCCCCCCCCCCCCC(=O)N[C@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](/C=C/CCCCCCCCCCCCC)O,37.12,min,AADLTHQNYQJHQV-XACAWUTQSA-N,[M+CH3COO]-
UT010077,UT002254;UT001270;UT001515;UT002741;UT002011;UT002979,13832233,CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](/C=C/CCCCCCCCCCCCC)O,44.35,min,FJJANLYCZUNFSE-QVMKKYBKSA-N,[M+CH3COO]-
UT957518,UT002015;UT001274,13832237,CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](/C=C/CCCCCCCCCCCCC)O,48.31,min,QEDPUVGSSDPBMD-ZDGDQSOJSA-N,[M+CH3COO]-
UT382868,UT001005;UT001740;UT002476,14818904,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,22.77,min,LLHISNQVRRYJGL-UHFFFAOYSA-N,[M+CH3COO]-
UT201771,UT001746;UT001010;UT002482,16666986,CCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,13.37,min,GEINPYKZLFHHIL-BDWYRQGHSA-N,[M+CH3COO]-
