accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
PR820942,PR304873;PR304879;PR304881;PR304891;PR304877;PR304889;PR304894;PR304887;PR304883;PR308886;PR304875;PR304885;PR304893,28126,CN(CC1=CC=CC=C1O)C2CCC3=CC(=C(C(=C3C4=CC=C(C(=O)C=C24)OC)OC)OC)OC,5.03,min,SOFSXTKPGSIDCI-UHFFFAOYSA-N
PR500436,PR309391,28495,C1=CC=C2C(=C1)N(C(=O)C(O2)O)O,1.83,min,COVOPZQGJGUPEY-UHFFFAOYSA-N
PR261948,PR309117,36599,CCCCCCC(CC(=O)O)O,4.9,min,XBUXARJOYUQNTC-UHFFFAOYSA-N
PR956537,PR305262;PR305264;PR305265;PR308815;PR305261;PR305258;PR305266;PR305260;PR305263;PR305259,64961,C1=CC=C2C(=C1)C3=C(N2)C=NC=C3,3.47,min,AIFRHYZBTHREPW-UHFFFAOYSA-N
PR520248,PR306245;PR306239;PR306221;PR306275;PR308799;PR306233;PR306215;PR306269;PR306257;PR306251;PR306263;PR306227;PR306209,65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,3.467917,min,WMBWREPUVVBILR-WIYYLYMNSA-N
PR412579,PR307695;PR307731;PR307722;PR307708;PR307727;PR307717;PR307738;PR307699;PR308769;PR307734;PR307690;PR307713;PR307703,65243,CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O,5.34,min,SQOJOAFXDQDRGF-UHFFFAOYSA-N
PR610513,PR304869;PR304870;PR308729;PR304866;PR304867;PR304868;PR304871,69141,C1=CC=C2C(=C1)C(=O)C=CN2,2.93,min,PMZDQRJGMBOQBF-UHFFFAOYSA-N
PR646149,PR307418,72300,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,9.205833,min,VVOAZFWZEDHOOU-UHFFFAOYSA-N
PR628124,PR307407;PR307411;PR307408;PR307415;PR307414;PR307413;PR307416;PR307412;PR307410;PR307417;PR308823;PR307409,72300,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,9.205833,min,VVOAZFWZEDHOOU-UHFFFAOYSA-N
PR893046,PR307478;PR307482;PR307476;PR308822;PR307475;PR307474;PR307480;PR307479;PR307481;PR307477,72303,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,8.63,min,FVYXIJYOAGAUQK-UHFFFAOYSA-N
PR175751,PR309116,75704,C(CCCC=O)CCCC(=O)O,5.75,min,WLGDDELKYAWBBL-UHFFFAOYSA-N
PR341758,PR308955,79392,CC(C)S(=O)(=O)O,1.74,min,HNDXKIMMSFCCFW-UHFFFAOYSA-N
PR519217,PR306259;PR306229;PR306247;PR306277;PR306217;PR306241;PR306253;PR306265;PR306271;PR306211;PR306223;PR306235;PR308794,85704,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)O)O)O)O)O)O,4.286783,min,HXTFHSYLYXVTHC-UHFFFAOYSA-N
PR708748,PR305775;PR305794;PR305813;PR305838;PR305831;PR305782;PR308781;PR305800;PR305824,85705,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O,5.356184,min,RMCRQBAILCLJGU-UHFFFAOYSA-N
PR678724,PR305812;PR305830;PR305774;PR305818;PR305793;PR305837;PR305823;PR305799;PR305781;PR305843;PR305806,85705,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)OC)O)O)O)O)O)O)O,5.356184,min,RMCRQBAILCLJGU-UHFFFAOYSA-N
PR936822,PR306141;PR306130;PR306082;PR306147;PR306094;PR306106;PR306112;PR306135;PR306118;PR306124;PR306100;PR306088;PR308805,86092,COC1=CC(=CC(=C1)C=CC(=O)O)OC,6.25,min,VLSRUFWCGBMYDJ-UHFFFAOYSA-N
PR078140,PR309152,86554,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,9.91,min,ASWBNKHCZGQVJV-UHFFFAOYSA-N
PR316155,PR305876;PR308803;PR305883;PR305889;PR305908;PR305857;PR305901;PR305850;PR305921,87155,COC1=CC=CC(=C1)C=CC(=O)O,6.02,min,LZPNXAULYJPXEH-UHFFFAOYSA-N
PR644166,PR309147;PR309148,89229,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O,9.85,min,YVYMBNSKXOXSKW-UHFFFAOYSA-N
