accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
LQB4111962,LQB00270;LQB00656,138157532,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.119515,min,FZJRPYWBMGYDIA-HILQMKNTSA-N,[M-H]-
LQB1502208,LQB00730;LQB00344,138157682,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.345592,min,FZVOBDJBRIEKPS-HILQMKNTSA-N,[M-H]-
LQB0544823,LQB00693;LQB00307,138159922,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCCCCC/C=C\C/C=C\C/C=C\CC,8.913146,min,GGSSNEAFVQRIHU-JTBMWNAQSA-N,[M-H]-
LQB9013557,LQB00661;LQB00275,138161853,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,7.886111,min,GMXYXYLCBAOPHA-LNYCXSEGSA-N,[M-H]-
LQB4070433,LQB00636;LQB00250,138165783,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.135416,min,GZBZSCNQFXTELT-LPHKCNJWSA-N,[M-H]-
LQB9968874,LQB00608;LQB00222;LQB00609;LQB00223,138168948,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.936766,min,HIZMZVSEIXACMP-LNYCXSEGSA-N,[M-H]-
LQB5407043,LQB00638;LQB00252,138172530,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.297842,min,HUFCXYMYEWLLHT-LGFBOSHVSA-N,[M-H]-
LQB8608162,LQB00567;LQB00180;LQB00566;LQB00181,138175392,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,10.04527,min,ICYDFONFTSPCRL-BHYOAKPMSA-N,[M-H]-
LQB0193514,LQB00321;LQB00707,138175443,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,8.108304,min,IDBHHLONPONREV-DMQHYRIXSA-N,[M-H]-
LQB9274560,LQB00273;LQB00272;LQB00658;LQB00659,138179182,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC,7.931372,min,IOSMTWQOMVSNAG-DMQHYRIXSA-N,[M-H]-
